Test name,P2/Pintos group ID (anonymized),Log file name,Bug found with single-pass DR PPs only?,Bug found with nondeterministic DR PPs? (possibly in addition),Bug required nondeterministic DR PPs?,"Deterministic DR PPs used (if found multiple times, separated by slashes)","Nondeterministic DR PPs used (if found multiple times, separated by slashes)"
alarm-simultaneous,australia,ls-id-log-20160810175203.log.yR6p9S.gz,1,1,0,DR 1@ 0xc002dc98' /'DR 1@ 0xc002dc96' /,DR 1@ 0xc002dc91' [NONDET] /
alarm-simultaneous,benelux,ls-id-log-20160810134509.log.TyMHX1.gz,1,1,0,DR 1@ 0xc002db10' /'DR 1@ 0xc002db0e' /,DR 1@ 0xc002db09' [NONDET] /
alarm-simultaneous,cuba,ls-id-log-20160810101011.log.D93Gss.gz,1,0,0,DR 1@ 0xc00285c7' /'DR 1@ 0xc0028585' /'DR 1@ 0xc002858a' /'DR 1@ 0xc002844c' /'DR 1@ 0xc0028447' /'DR 1@ 0xc002843c' /'DR 1@ 0xc002847e' /,
alarm-simultaneous,denmark,ls-id-log-20160810083930.log.UcIATZ.gz,1,0,0,DR 1@ 0xc00209b4' /,
alarm-simultaneous,eastgermany,ls-id-log-20160810090931.log.wBhHiE.gz,1,1,0,DR 3@ 0xc0029043' /'DR 4@ 0xc0029041' /'DR 3@ 0xc0029046' /'DR 3@ 0xc0029041' /'DR 4@ 0xc0029046' /'DR 1@ 0xc0029046' /,DR 3@ 0xc0028c37' [NONDET] /'DR 3@ 0xc0028c2c' [NONDET] /'DR 1@ 0xc00207f5' 'DR 3@ 0xc0028c2c' [NONDET] /
alarm-simultaneous,ecuador,ls-id-log-20160810065158.log.CJNMar.gz,1,0,0,DR 1@ 0xc002db9b' /,
alarm-simultaneous,indonesia,ls-id-log-20160810144635.log.ONjlSh.gz,1,1,0,DR 4@ 0xc0029191' /'DR 3@ 0xc0029193' /'DR 3@ 0xc0029191' /'DR 4@ 0xc0029196' /'DR 3@ 0xc0029196' /'DR 4@ 0xc0029193' /'DR 4@ 0xc0028d7c' /'DR 1@ 0xc0029193' /'DR 1@ 0xc0029196' /'DR 1@ 0xc0029133' /'DR 1@ 0xc002912e' /'DR 1@ 0xc0029191' /'DR 1@ 0xc002918a' /,DR 3@ 0xc0028d87' [NONDET] /'DR 3@ 0xc0028d7c' [NONDET] /
alarm-simultaneous,iraq,ls-id-log-20160810114210.log.qxkXGb.gz,1,1,0,DR 1@ 0xc002d9ac' /'DR 1@ 0xc002d9aa' /,DR 1@ 0xc002d9a5' [NONDET] /
alarm-simultaneous,malaysia,ls-id-log-20160810073908.log.vsMfKe.gz,1,1,0,DR 1@ 0xc002da12' /'DR 1@ 0xc002da14' /,DR 1@ 0xc002da0d' [NONDET] /
alarm-simultaneous,northkorea,ls-id-log-20160810013218.log.QUYBhn.gz,1,0,0,DR 1@ 0xc002885c' /,
