Test name,P2/Pintos group ID (anonymized),Log file name,Bug found with single-pass DR PPs only?,Bug found with nondeterministic DR PPs? (possibly in addition),Bug required nondeterministic DR PPs?,"Deterministic DR PPs used (if found multiple times, separated by slashes)","Nondeterministic DR PPs used (if found multiple times, separated by slashes)"
alarm-simultaneous,cuba,ls-id-log-20160810013437.log.BoEHjv.gz,0,1,1,,DR 1@ 0xc002844c' [NONDET] /'DR 1@ 0xc002847e' [NONDET] /'DR 1@ 0xc0028447' [NONDET] /'DR 1@ 0xc002843c' [NONDET] /
alarm-simultaneous,france,ls-id-log-20160810063836.log.8QSEJi.gz,0,1,1,,DR 1@ 0xc002d5f6' [NONDET] /'DR 1@ 0xc002d5c4' [NONDET] /
alarm-simultaneous,indonesia,ls-id-log-20160810033622.log.5Dd98k.gz,1,0,0,DR 3@ 0xc0029191' /'DR 4@ 0xc0029191' /'DR 3@ 0xc0029196' /'DR 4@ 0xc0029196' /'DR 3@ 0xc0029193' /'DR 4@ 0xc0029193' /'DR 1@ 0xc0029196' /'DR 1@ 0xc0029193' /'DR 1@ 0xc0029191' /'DR 1@ 0xc002918a' /,
alarm-simultaneous,ivorycoast,ls-id-log-20160810053813.log.1W7rRr.gz,0,1,1,,sema_down' 'DR 1@ 0xc002df33' [NONDET] /'sema_down' 'DR 1@ 0xc002df3a' [NONDET] /'sema_up' 'DR 1@ 0xc002df33' [NONDET] /'sema_up' 'DR 1@ 0xc002df3a' [NONDET] /
alarm-simultaneous,nigeria,ls-id-log-20160810003416.log.908MkL.gz,0,1,1,,DR 1@ 0xc0028afa' [NONDET] /'sema_up' 'DR 1@ 0xc0028afa' [NONDET] /
alarm-simultaneous,norway,ls-id-log-20160810023459.log.0cIDVh.gz,0,1,1,,DR 1@ 0xc0022abb' [NONDET] /'DR 1@ 0xc0022a8d' [NONDET] /'DR 1@ 0xc0022c0c' [NONDET] /'sti' 'DR 4@ 0xc0022abb' [NONDET] /'sti' 'DR 4@ 0xc0022c0c' [NONDET] /
alarm-simultaneous,saudiarabia,ls-id-log-20160810043649.log.esUF1j.gz,0,1,1,,DR 1@ 0xc002d0ea' [NONDET] /'sema_up' 'DR 1@ 0xc002d0ea' [NONDET] /'DR 1@ 0xc002d13e' [NONDET] /'DR 1@ 0xc002d10c' [NONDET] /
broadcast_test,fluorine,ls-id-log-20160810023610.log.4Jp2bS.gz,1,0,0,DR 5@ 0x10006a3' /'DR 5@ 0x100078e' /,
broadcast_test,phosphorus,ls-id-log-20160810104228.log.c2z7SS.gz,0,1,1,,mutex_lock' 'DR 5@ 0x100185f' [NONDET] 'DR 4@ 0x1000d7b' [NONDET] /'mutex_lock' 'DR 5@ 0x1000dd2' [NONDET] /'mutex_lock' 'DR 5@ 0x100185c' [NONDET] /'mutex_lock' 'DR 5@ 0x1000bc8' [NONDET] /'mutex_lock' 'DR 5@ 0x1000bc5' [NONDET] /'mutex_lock' 'DR 5@ 0x1001860' [NONDET] /'mutex_lock' 'DR 5@ 0x1000bbd' [NONDET] /'mutex_lock' 'DR 5@ 0x1001863' [NONDET] /'mutex_lock' 'DR 5@ 0x100185f' [NONDET] /
mutex_test,barium,ls-id-log-20160812164126.log.pbmwKD.gz,1,0,0,mutex_lock' 'DR @ 0x10009a5' /,
mutex_test,caesium,ls-id-log-20160810033639.log.WlM46O.gz,1,0,0,mutex_unlock' 'DR @ 0x1000316' /,
mutex_test,fluorine,ls-id-log-20160810043802.log.WQs6pV.gz,1,0,0,mutex_unlock' 'DR @ 0x100038a' /'mutex_unlock' 'DR @ 0x1000390' /,
mutex_test,lithium,ls-id-log-20160810063851.log.PgGBAB.gz,0,1,1,,mutex_lock' 'DR @ 0x100048c' [NONDET] /'mutex_lock' 'DR @ 0x100052e' 'DR @ 0x1000486' [NONDET] /'mutex_lock' 'DR @ 0x100052e' 'DR @ 0x1000492' [NONDET] /'mutex_lock' 'DR @ 0x1000558' 'DR @ 0x1000492' [NONDET] /'mutex_lock' 'DR @ 0x10003f1' 'DR @ 0x1000492' [NONDET] /'mutex_lock' 'DR @ 0x1000515' 'DR @ 0x1000492' [NONDET] /'mutex_lock' 'DR @ 0x1000558' 'DR @ 0x1000486' [NONDET] /'mutex_lock' 'DR @ 0x10003f1' 'DR @ 0x1000486' [NONDET] /'mutex_lock' 'DR @ 0x1000515' 'DR @ 0x1000486' [NONDET] /'mutex_lock' 'DR @ 0x1000492' [NONDET] 'DR @ 0x1000498' [NONDET] /'mutex_lock' 'DR @ 0x1000486' [NONDET] 'DR @ 0x1000498' [NONDET] /'mutex_lock' 'mutex_unlock' 'DR @ 0x1000456' [NONDET] 'DR @ 0x1000492' [NONDET] /'mutex_lock' 'mutex_unlock' 'DR @ 0x1000456' [NONDET] 'DR @ 0x1000486' [NONDET] /
mutex_test,manganese,ls-id-log-20160810115611.log.xiVu7V.gz,1,0,0,DR @ 0x1000c2a' /,
mutex_test,nickel,ls-id-log-20160810134648.log.RS6Dig.gz,1,1,0,mutex_lock' 'DR @ 0x1000f41' /,mutex_lock' 'DR @ 0x1000dfa' [NONDET] /'mutex_lock' 'DR @ 0x1000df2' [NONDET] /'mutex_lock' 'DR @ 0x1000de8' [NONDET] /'mutex_lock' 'DR @ 0x1000dde' [NONDET] /'mutex_lock' 'DR @ 0x1000dd8' [NONDET] /'mutex_lock' 'DR @ 0x1000f2a' [NONDET] /
mutex_test,phosphorus,ls-id-log-20160810084043.log.gv3d2z.gz,1,0,0,mutex_lock' 'mutex_unlock' 'DR @ 0x10011a6' /'mutex_unlock' 'DR @ 0x10011a6' /,
mutex_test,selenium,ls-id-log-20160810074115.log.WBHGw2.gz,1,0,0,mutex_unlock' 'DR @ 0x1000f6a' /'mutex_lock' 'DR @ 0x1001027' /,
paradise_lost (aka sem),erbium,ls-id-log-20160810064049.log.UTsoWH.gz,1,0,0,DR 5@ 0x1000620' /,
paradise_lost (aka sem),fluorine,ls-id-log-20160810023614.log.gCcNRx.gz,1,1,0,DR 5@ 0x10006ae' /'DR 5@ 0x10005c3' /,DR 6@ 0x10005c3' [NONDET] /'DR 6@ 0x10006ae' [NONDET] /'DR 5@ 0x10005cd' [NONDET] /
paradise_lost (aka sem),lithium,ls-id-log-20160812165422.log.HeCGjv.gz,1,0,0,DR 6@ 0x1000570' 'DR 5@ 0x1000600' /,
paradise_lost (aka sem),palladium,ls-id-log-20160810043757.log.g9vO3T.gz,0,1,1,,DR 6@ 0x102917' [NONDET] 'DR 4@ 0x100176b' [NONDET] /
paradise_lost (aka sem),selenium,ls-id-log-20160812164246.log.tebmcU.gz,0,1,1,,DR 5@ 0x102917' 'DR 6@ 0x10010ff' [NONDET] /'DR 6@ 0x102917' [NONDET] 'DR 5@ 0x10010ff' [NONDET] /
paradise_lost (aka sem),strontium,ls-id-log-20160810094205.log.pYAgdH.gz,1,0,0,DR 5@ 0x1000e6e' /'DR 6@ 0x1000e6e' /,
paraguay (aka signal),fluorine,ls-id-log-20160810114456.log.TvBdEp.gz,1,0,0,DR 5@ 0x100082f' /'DR 5@ 0x100091a' /,
paraguay (aka signal),potassium,ls-id-log-20160810074014.log.LXsyaV.gz,0,1,1,,mutex_unlock' 'DR 4@ 0x1000742' [NONDET] /'mutex_lock' 'DR 5@ 0x102917' 'DR 4@ 0x1000742' [NONDET] /'mutex_lock' 'DR 5@ 0x10006c5' 'DR 4@ 0x1000742' [NONDET] /
paraguay (aka signal),sulfur,ls-id-log-20160810084238.log.DQVRIw.gz,0,1,1,,mutex_unlock' 'DR 4@ 0x10005b7' [NONDET] /
priority-sema (aka sched),argentina,ls-id-log-20160810074720.log.pbOwe8.gz,0,1,1,,DR 1@ 0xc002b1a3' [NONDET] /'DR 1@ 0xc002b176' [NONDET] /'DR 1@ 0xc002b2e6' [NONDET] /'DR 1@ 0xc002b1ac' [NONDET] /
priority-sema (aka sched),cuba,ls-id-log-20160810084742.log.SwA29E.gz,0,1,1,,DR 1@ 0xc0028447' [NONDET] /'DR 1@ 0xc002843c' [NONDET] /'DR 1@ 0xc002847e' [NONDET] /'DR 1@ 0xc002844c' [NONDET] /'DR 1@ 0xc00285c7' [NONDET] /'DR 1@ 0xc002858a' [NONDET] /'DR 1@ 0xc0028585' [NONDET] /
priority-sema (aka sched),france,ls-id-log-20160810103245.log.PBrhLh.gz,0,1,1,,DR 1@ 0xc002d5bf' [NONDET] /'DR 1@ 0xc002d5f6' [NONDET] /'DR 1@ 0xc002d5b4' [NONDET] /'DR 1@ 0xc002d5c4' [NONDET] /
priority-sema (aka sched),nigeria,ls-id-log-20160810073958.log.6kegSJ.gz,0,1,1,,DR 1@ 0xc0028b17' [NONDET] /'DR 1@ 0xc0028b0c' [NONDET] /'DR 1@ 0xc0028b4e' [NONDET] /'DR 1@ 0xc0028b1c' [NONDET] /
priority-sema (aka sched),northkorea,ls-id-log-20160810085902.log.xaWxGD.gz,0,1,1,,DR 1@ 0xc0028857' [NONDET] /'DR 1@ 0xc002884c' [NONDET] /'sema_down' 'DR 1@ 0xc002884c' [NONDET] /'DR 1@ 0xc002888e' [NONDET] /'DR 1@ 0xc002885c' [NONDET] /
priority-sema (aka sched),saudiarabia,ls-id-log-20160810095924.log.nQE1cH.gz,0,1,1,,DR 1@ 0xc002d107' [NONDET] /'DR 1@ 0xc002d0fc' [NONDET] /'DR 1@ 0xc002d13e' [NONDET] /'DR 1@ 0xc002d10c' [NONDET] /
rwlock_downgrade_read_test,fluorine,ls-id-log-20160810144811.log.Cn3EWh.gz,1,1,0,DR 5@ 0x10004ab' /'DR 5@ 0x1000596' /,DR 5@ 0x100033c' 'DR 4@ 0x1000e6e' [NONDET] 'DR 4@ 0x10004ae' [NONDET] /'DR 5@ 0x1000490' 'DR 4@ 0x1000e6e' [NONDET] 'DR 4@ 0x10004ae' [NONDET] /
rwlock_downgrade_read_test,gadolinium,ls-id-log-20160810125734.log.0oGFCy.gz,1,1,0,mutex_lock' 'DR 5@ 0x1001f2b' /'DR 4@ 0x1001fab' /'DR 4@ 0x1001f92' 'DR 5@ 0x1001f2b' /'DR 4@ 0x1001fa1' /'DR 4@ 0x1001f8a' 'DR 5@ 0x1001f2b' /'DR 4@ 0x1001f4d' 'DR 5@ 0x1001f2b' /'DR 5@ 0x1001f2b' 'DR 4@ 0x1001f97' /,DR 4@ 0x1001f92' 'DR 5@ 0x1001f22' [NONDET] /'DR 4@ 0x1001f8a' 'DR 5@ 0x1001f22' [NONDET] /'DR 4@ 0x1001f4d' 'DR 5@ 0x1001f22' [NONDET] /'DR 4@ 0x1001f97' 'DR 5@ 0x1001f22' [NONDET] /
rwlock_downgrade_read_test,lithium,ls-id-log-20160810124523.log.HOMlM9.gz,1,0,0,DR 4@ 0x100046c' /,
thr_exit_join,barium,ls-id-log-20160810033634.log.zHWjm9.gz,1,1,0,DR 4@ 0x1000be9' /,DR 4@ 0x1000be0' [NONDET] /
thr_exit_join,fluorine,ls-id-log-20160810104430.log.sLBjsC.gz,1,1,0,DR 5@ 0x1000d47' /'DR 5@ 0x1000e32' /,mutex_unlock' 'DR 4@ 0x1000d47' [NONDET] /'mutex_unlock' 'DR 4@ 0x1000e32' [NONDET] /
thr_exit_join,gallium,ls-id-log-20160810013451.log.fsIS01.gz,1,0,0,DR 4@ 0x10011ee' 'DR 5@ 0x1000e68' /'DR 4@ 0x1000e68' /'mutex_lock' 'DR 5@ 0x1000e68' /,
thr_exit_join,hafnium,ls-id-log-20160810114350.log.N5Yeh1.gz,0,1,1,,mutex_unlock' 'DR 5@ 0x1000ec8' [NONDET] /'mutex_lock' 'DR 5@ 0x1000ec8' [NONDET] /
thr_exit_join,iridium,ls-id-log-20160810053925.log.vaXDQ2.gz,1,0,0,DR 4@ 0x1000dce' /'mutex_unlock' 'DR 5@ 0x1000dce' /'mutex_lock' 'DR 4@ 0x100123c' 'DR 5@ 0x1000dce' /,
thr_exit_join,nitrogen,ls-id-log-20160810003329.log.9MtDgb.gz,0,1,1,,mutex_unlock' 'DR 4@ 0x100030c' [NONDET] /'DR 5@ 0x102917' 'DR 4@ 0x100030c' [NONDET] /'DR 5@ 0x10008ee' 'DR 4@ 0x100030c' [NONDET] /'DR 5@ 0x10003f9' 'DR 4@ 0x100030c' [NONDET] /
thr_exit_join,phosphorus,ls-id-log-20160810094404.log.BttWEC.gz,0,1,1,,mutex_lock' 'DR 5@ 0x10016ed' [NONDET] /'mutex_lock' 'DR 5@ 0x1000b27' [NONDET] /'mutex_lock' 'DR 5@ 0x1000b24' [NONDET] /'mutex_lock' 'DR 5@ 0x1000b28' [NONDET] /'mutex_lock' 'DR 5@ 0x1001cb2' [NONDET] /'mutex_lock' 'DR 5@ 0x1000b2b' [NONDET] /'mutex_lock' 'DR 5@ 0x10016f8' [NONDET] /'mutex_lock' 'DR 5@ 0x10016f5' [NONDET] /'mutex_lock' 'DR 4@ 0x10016cd' [NONDET] 'DR 5@ 0x102917' [NONDET] /
