Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Data-race (DR) PPs needed?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Verif CPU time (usecs),Mutual timeout with ICB? (table 1 in paper),Completed DR PPs,Total DR PPs,Untested DR PPs,Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Malloc-recycle NOT false positives,Bug type,,,,,
alarm-simultaneous,algeria,ls-id-log-20151112085735.log.TwdjTB.gz,0,0,0,,,,1,0,2,2,4,5,0,0,,,,,,
alarm-simultaneous,angola,ls-id-log-20160803030350.log.uPLIsm.gz,0,0,0,,,,1,0,3,3,2,3,0,0,,,,,,
alarm-simultaneous,argentina,ls-id-log-20151112075407.log.xSUNxB.gz,0,0,0,,,,0,0,6,6,0,0,0,0,,,,,,
alarm-simultaneous,australia,ls-id-log-20151112174314.log.ARo01B.gz,1,1,0,2419262007,21808653522,,0,0,11,11,2,3,3,0,bugtype USE AFTER FREE,,,,,
alarm-simultaneous,benelux,ls-id-log-20151112045226.log.gyOL0C.gz,1,1,0,786344917,7555430816,,0,0,9,9,3,4,3,0,bugtype USE AFTER FREE,,,,,
alarm-simultaneous,bolivia,ls-id-log-20151112045247.log.3NQMar.gz,0,0,0,,,,0,3,11,8,5,10,1,0,,,,,,
alarm-simultaneous,botswana,ls-id-log-20151112065412.log.CWEtIB.gz,0,0,0,,,,1,0,1,1,2,3,4,0,,,,,,
alarm-simultaneous,brazil,ls-id-log-20151112055310.log.mAZJ85.gz,0,0,0,,,,1,1,2,1,3,6,0,0,,,,,,
alarm-simultaneous,costarica,ls-id-log-20151112174317.log.JtUR9Z.gz,0,0,0,,,,1,5,12,7,14,36,0,0,,,,,,
alarm-simultaneous,cuba,ls-id-log-20151112065340.log.XcxOK0.gz,1,1,0,686174664,6662561184,,0,0,10,10,10,11,0,0,bugtype KERNEL PANIC: ../../lib/kernel/list.c:106: assertion `is_head (elem) || is_interior (elem)' failed.,,,,,
alarm-simultaneous,czechoslovakia,ls-id-log-20151112085416.log.DMkT4l.gz,0,0,0,,,,1,2,6,4,7,12,0,0,,,,,,
alarm-simultaneous,denmark,ls-id-log-20151112075511.log.y5pxk0.gz,1,1,0,1203791561,11834055227,,0,2,4,2,7,17,0,0,bugtype USE AFTER FREE,,,,,
