Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Data-race (DR) PPs needed?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Verif CPU time (usecs),Completed DR PPs,Total DR PPs,Untested DR PPs,Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Bug type,,,,,,
alarm-simultaneous,algeria,ls-id-log-20160703172618.log.mybefO.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,angola,ls-id-log-20160803030250.log.WqtxcQ.gz,0,0,0,,,,0,0,0,0,1,0,,,,,,,
alarm-simultaneous,argentina,ls-id-log-20160703205104.log.0U5jmd.gz,0,0,0,,,,0,4,4,0,0,0,,,,,,,
alarm-simultaneous,australia,ls-id-log-20160703180257.log.HXFSHL.gz,0,0,0,,,,2,2,0,3,6,0,,,,,,,
alarm-simultaneous,benelux,ls-id-log-20160703222128.log.FIKo2u.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,bolivia,ls-id-log-20160703185153.log.tFS6ae.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,botswana,ls-id-log-20160703190233.log.KmIVd6.gz,0,0,0,,,,0,1,1,2,3,0,,,,,,,
alarm-simultaneous,brazil,ls-id-log-20160703143449.log.WH2Mvm.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,costarica,ls-id-log-20160703164241.log.5bu6gx.gz,0,0,0,,,,0,9,9,11,12,0,,,,,,,
alarm-simultaneous,cuba,ls-id-log-20160703160111.log.93DXUD.gz,1,1,0,1058009111,8558316686,,0,7,7,7,8,0,bugtype KERNEL PANIC: ../../lib/kernel/list.c:106: assertion `is_head (elem) || is_interior (elem)' failed.,,,,,,
alarm-simultaneous,czechoslovakia,ls-id-log-20160703185121.log.qfP5RI.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,denmark,ls-id-log-20160703154012.log.7turfl.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,eastgermany,ls-id-log-20160703204805.log.0QWU0C.gz,0,0,0,,,,1,1,0,3,5,0,,,,,,,
alarm-simultaneous,ecuador,ls-id-log-20160703143227.log.ORQvqM.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,finland,ls-id-log-20160703182537.log.1LQMx5.gz,0,0,0,,,,0,3,3,5,6,0,,,,,,,
alarm-simultaneous,france,ls-id-log-20160703170134.log.cZwttI.gz,1,1,0,3122640114,30944380320,,0,4,4,4,5,0,bugtype KERNEL PANIC: ../../lib/kernel/list.c:106: assertion `is_head (elem) || is_interior (elem)' failed.,,,,,,
alarm-simultaneous,haiti,ls-id-log-20160703153250.log.o2r4n8.gz,0,0,0,,,,2,2,0,6,18,0,,,,,,,
alarm-simultaneous,honduras,ls-id-log-20160703153248.log.ONeAUt.gz,1,0,0,480111914,2770330578,,0,0,0,4,5,0,"bugtype Sleep-related deadlock (TID 1 fell into a hole, and could take no more.",,,,,,
alarm-simultaneous,indonesia,ls-id-log-20160703154207.log.9VuZ1Q.gz,1,1,0,173098513,1529397000,,4,9,5,20,23,0,bugtype [multiple],Kernel page faulted! Faulting eip: 0xc00293e2; address: 0xccccccd0,Kernel page faulted! Faulting eip: 0xc00293ea; address: 0xcccccccc,"Sleep-related deadlock (TID 1 fell into a hole, and could take no more.","Sleep-related deadlock (TID 3 fell into a hole, and could take no more.","Sleep-related deadlock (TID 4 fell into a hole, and could take no more.",USE AFTER FREE
alarm-simultaneous,iran,ls-id-log-20160703143551.log.7nRB0p.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,iraq,ls-id-log-20160703164034.log.VBtzJI.gz,0,0,0,,,,0,3,3,2,3,0,,,,,,,
alarm-simultaneous,israel,ls-id-log-20160703172232.log.aaJd14.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,italy,ls-id-log-20160703173922.log.LETs5s.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,ivorycoast,ls-id-log-20160703164722.log.YnYwzr.gz,1,1,0,1632272613,13891719965,,0,4,4,4,6,0,bugtype USE AFTER FREE,,,,,,
alarm-simultaneous,malaysia,ls-id-log-20160703205506.log.qRBRzG.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,mexico,ls-id-log-20160703153511.log.frHOU5.gz,0,0,0,,,,0,0,0,0,0,0,,,,,,,
alarm-simultaneous,morocco,ls-id-log-20160703163312.log.smfvuZ.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,nicaragua,ls-id-log-20160703154434.log.cmr2Ly.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,nigeria,ls-id-log-20160703153405.log.2DmxVt.gz,1,1,0,1039786007,5735024070,,0,1,1,3,4,0,bugtype KERNEL PANIC: ../../threads/thread.c:701: assertion `is_thread (next)' failed.,,,,,,
alarm-simultaneous,northkorea,ls-id-log-20160703163515.log.agwIO7.gz,0,0,0,,,,0,4,4,10,11,0,,,,,,,
alarm-simultaneous,norway,ls-id-log-20160703160937.log.3vpg8Z.gz,1,1,0,1333869305,12026801091,,0,3,3,9,12,0,bugtype [multiple],Free (in kernel) reentered Malloc!,KERNEL PANIC: ../../threads/synch.c:276: assertion `!lock_held_by_current_thread (lock)' failed.,KERNEL PANIC: ../../threads/synch.c:298: assertion `lock_held_by_current_thread (lock)' failed.,,,
alarm-simultaneous,peru,ls-id-log-20160703204503.log.uXlk2p.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,philippines,ls-id-log-20160803040410.log.iAHjm0.gz,1,0,0,489989552,2874104657,,0,0,0,2,3,0,"bugtype Sleep-related deadlock (TID 1 fell into a hole, and could take no more.",,,,,,
alarm-simultaneous,saudiarabia,ls-id-log-20160703170119.log.kRkQgi.gz,1,1,0,1389168294,11508131511,,0,3,3,4,5,0,bugtype [multiple],KERNEL PANIC: ../../lib/kernel/list.c:106: assertion `is_head (elem) || is_interior (elem)' failed.,KERNEL PANIC: ../../threads/thread.c:641: assertion `is_thread (t)' failed.,,,,
alarm-simultaneous,somalia,ls-id-log-20160703175130.log.wT8YiN.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,southafrica,ls-id-log-20160703190542.log.SICTy8.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,spainportugal,ls-id-log-20160703144249.log.8lSsgh.gz,0,0,0,,,,0,0,0,2,3,0,,,,,,,
alarm-simultaneous,syria,ls-id-log-20160703195903.log.dMo9MY.gz,0,0,0,,,,0,2,2,3,4,0,,,,,,,
alarm-simultaneous,taiwan,ls-id-log-20160703154219.log.3M4Lyl.gz,1,0,0,1295028374,3943364209,,0,0,0,3,4,0,bugtype USE AFTER FREE,,,,,,
alarm-simultaneous,thailand,ls-id-log-20160703143226.log.WRuhew.gz,1,0,0,600085630,3459267364,,0,0,0,3,4,0,bugtype Kernel page faulted! Faulting eip: 0xc00210e7; address: 0xccccccc8,,,,,,
alarm-simultaneous,uruguay,ls-id-log-20160703221403.log.1GXKTl.gz,0,0,0,,,,0,2,2,4,5,0,,,,,,,
alarm-simultaneous,westgermany,ls-id-log-20160703143229.log.g7TUOv.gz,0,0,0,,,,1,2,1,4,7,0,,,,,,,
alarm-simultaneous,yugoslavia,ls-id-log-20160703143950.log.7oTWCx.gz,0,0,0,,,,0,0,0,1,2,0,,,,,,,
alarm-simultaneous,zimbabwe,ls-id-log-20160703155110.log.P0f7jc.gz,1,0,0,487892326,2813854535,,0,0,0,4,5,0,"bugtype Sleep-related deadlock (TID 1 fell into a hole, and could take no more.",,,,,,
broadcast_test,aluminum,ls-id-log-20160701182415.log.usDMxb.gz,0,0,1,,,103180455,2,2,0,4,14,0,,,,,,,
broadcast_test,antimony,ls-id-log-20160701161818.log.s5rbfd.gz,0,0,1,,,260365173,2,2,0,4,14,0,,,,,,,
broadcast_test,argon,ls-id-log-20160630192548.log.rIT4i8.gz,0,0,1,,,72082288,0,0,0,2,4,0,,,,,,,
broadcast_test,arsenic,ls-id-log-20160701144830.log.A24MmK.gz,1,0,0,18926893,42709096,,0,2,2,4,5,0,bugtype Deadlock -- no threads are runnable!,,,,,,
broadcast_test,barium,ls-id-log-20160701110414.log.P1m611.gz,0,0,0,,,,9,9,0,11,377,0,,,,,,,
broadcast_test,beryllium,ls-id-log-20160701011019.log.1ndtSv.gz,0,0,1,,,185599912,2,2,0,4,16,0,,,,,,,
broadcast_test,boron,ls-id-log-20160630225838.log.ihpXoO.gz,0,0,0,,,,8,8,0,11,425,0,,,,,,,
broadcast_test,bromine,ls-id-log-20160701081704.log.T2SPcV.gz,0,0,0,,,,37,37,0,39,122,0,,,,,,,
broadcast_test,cadmium,ls-id-log-20160701150529.log.8OSVeR.gz,0,0,0,,,,12,12,0,14,729,0,,,,,,,
broadcast_test,caesium,ls-id-log-20160701024728.log.Uj7DnM.gz,0,0,1,,,322528791,0,0,0,2,4,0,,,,,,,
broadcast_test,calcium,ls-id-log-20160701074639.log.XDLLZn.gz,0,0,1,,,86371342,3,3,0,5,27,0,,,,,,,
broadcast_test,carbon,ls-id-log-20160630215358.log.v6OBBt.gz,0,0,1,,,110245598,3,3,0,5,27,0,,,,,,,
broadcast_test,cerium,ls-id-log-20160701172401.log.ouN2hg.gz,0,0,1,,,301026429,8,8,0,10,598,0,,,,,,,
broadcast_test,chlorine,ls-id-log-20160630190613.log.epTOX0.gz,0,0,1,,,93110778,2,2,0,4,14,0,,,,,,,
broadcast_test,chromium,ls-id-log-20160701053431.log.TsATgI.gz,1,0,0,18934582,42734434,,0,0,0,2,4,0,bugtype Deadlock -- no threads are runnable!,,,,,,
broadcast_test,cobalt,ls-id-log-20160630204014.log.kBKjrE.gz,0,0,1,,,167471648,2,2,0,4,14,0,,,,,,,
broadcast_test,copper,ls-id-log-20160701003841.log.ICcW4D.gz,0,0,1,,,183952584,2,2,0,4,14,0,,,,,,,
broadcast_test,dysprosium,ls-id-log-20160701060739.log.eE2ksQ.gz,0,0,1,,,95294259,3,3,0,5,20,0,,,,,,,
