Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Eligible for sync-only verif?,Verif CPU time (usecs),Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Bug type,,
alarm-simultaneous,algeria,ls-id-log-20151113205154.log.Ta9DMf.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,angola,ls-id-log-20160803030607.log.JsnsNn.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,argentina,ls-id-log-20151113165435.log.FOg4wX.gz,0,0,,,(QS had DR PPs),,0,0,0,,,
alarm-simultaneous,australia,ls-id-log-20151113024651.log.FkjuTM.gz,0,0,,,(QS had DR PPs),,1,2,3,,,
alarm-simultaneous,benelux,ls-id-log-20151114211710.log.bvSeOt.gz,0,0,,,(QS had DR PPs),,2,3,3,,,
alarm-simultaneous,bolivia,ls-id-log-20151113101800.log.XPnLn4.gz,0,0,,,(QS had DR PPs),,2,3,3,,,
alarm-simultaneous,botswana,ls-id-log-20151113214744.log.nnfJQR.gz,0,0,,,(QS had DR PPs),,2,3,4,,,
alarm-simultaneous,brazil,ls-id-log-20151113131746.log.KZr8G8.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,costarica,ls-id-log-20151114214918.log.QYVVWW.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,cuba,ls-id-log-20151113191719.log.RQwi5a.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,czechoslovakia,ls-id-log-20151113232216.log.dfKaCI.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,denmark,ls-id-log-20151113141513.log.YXx3Ik.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,eastgermany,ls-id-log-20151113165426.log.1g9CB9.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,ecuador,ls-id-log-20151114214920.log.ON2dgd.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,finland,ls-id-log-20151113215520.log.0NQ5ud.gz,0,0,,,(QS had DR PPs),,2,3,3,,,
alarm-simultaneous,france,ls-id-log-20151113104723.log.oPeaHr.gz,0,0,,,(QS had DR PPs),,1,2,3,,,
alarm-simultaneous,haiti,ls-id-log-20151113181831.log.DWWJXD.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,honduras,ls-id-log-20151113141916.log.Ejh7Hn.gz,1,0,498733221,1958674573,,,4,5,0,"bugtype Sleep-related deadlock (TID 1 fell into a hole, and could take no more.",,
alarm-simultaneous,indonesia,ls-id-log-20151113191531.log.u4rn4Y.gz,1,0,129778791,484774507,,,4,5,0,bugtype Kernel page faulted! Faulting eip: 0xc00293ea; address: 0xcccccccc,,
alarm-simultaneous,iran,ls-id-log-20151113154809.log.IE7RSQ.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,iraq,ls-id-log-20151113081700.log.kc7lsP.gz,0,0,,,(QS had DR PPs),,1,2,3,,,
alarm-simultaneous,israel,ls-id-log-20151113144738.log.oKISCm.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,italy,ls-id-log-20151113192449.log.9DbKph.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,ivorycoast,ls-id-log-20151113054637.log.LwDsOH.gz,0,0,,,(QS had DR PPs),,2,3,3,,,
alarm-simultaneous,malaysia,ls-id-log-20151113074738.log.j3yQZ9.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,mexico,ls-id-log-20151113214622.log.xqSx9v.gz,0,0,,,(QS had DR PPs),,0,0,12,,,
alarm-simultaneous,morocco,ls-id-log-20151114001644.log.6d9Dpv.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,nicaragua,ls-id-log-20151113191559.log.dInusa.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,nigeria,ls-id-log-20151113171801.log.fYWite.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,northkorea,ls-id-log-20151113141447.log.MciLEd.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,norway,ls-id-log-20151113164509.log.7eVh9L.gz,0,0,,,(QS had DR PPs),,0,1,0,,,
alarm-simultaneous,peru,ls-id-log-20151113141626.log.C3SOYy.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,philippines,ls-id-log-20160803053630.log.0EmEza.gz,1,0,388498109,2262347297,,,2,3,0,"bugtype Sleep-related deadlock (TID 1 fell into a hole, and could take no more.",,
alarm-simultaneous,saudiarabia,ls-id-log-20151113124903.log.7jjy90.gz,0,0,,,(QS had DR PPs),,1,2,0,,,
alarm-simultaneous,somalia,ls-id-log-20151113164656.log.IozoNV.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,southafrica,ls-id-log-20151113194824.log.txCQAY.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,spainportugal,ls-id-log-20151113142402.log.NWhs6P.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,syria,ls-id-log-20151113024652.log.tP4wOp.gz,0,0,,,(QS had DR PPs),,1,2,3,,,
alarm-simultaneous,taiwan,ls-id-log-20151113204853.log.Ppdx6G.gz,1,0,1344315106,4044255717,,,3,4,0,bugtype USE AFTER FREE,,
alarm-simultaneous,thailand,ls-id-log-20151114210916.log.6eBKWG.gz,1,0,644691362,2540603485,,,3,4,0,bugtype Kernel page faulted! Faulting eip: 0xc00210e7; address: 0xccccccc8,,
alarm-simultaneous,uruguay,ls-id-log-20151113164536.log.7hW7xk.gz,0,0,,,(QS had DR PPs),,2,3,3,,,
alarm-simultaneous,westgermany,ls-id-log-20151113192458.log.YWTPdA.gz,0,0,,,(QS had DR PPs),,2,3,3,,,
alarm-simultaneous,yugoslavia,ls-id-log-20151114211651.log.pwnDir.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
alarm-simultaneous,zimbabwe,ls-id-log-20151113051714.log.fUyljD.gz,1,0,521534663,2052696191,,,4,5,0,"bugtype Sleep-related deadlock (TID 1 fell into a hole, and could take no more.",,
broadcast_test,aluminum,ls-id-log-20160512005706.log.3vo8e7.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,antimony,ls-id-log-20160510043701.log.Jo7BSl.gz,0,0,,,(QS had DR PPs),,2,4,1,,,
