Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Timed out?,Bug time (wall=CPU) (usecs),Completion time (usecs),Max ICB bound (table 2 in paper),# interleavings in max ICB bound state space,Elapsed time in completed max ICB bound state space,Estimated progress in max ICB bound state space (weighted backtrack estimator),ETA of max ICB bound state space (recursive estimator (note: may disagree with weighted backtrack estimator)),Bug trace filename
alarm-simultaneous,algeria,ls-id-log-20160111234535.log.sbaae9.gz,0,1,,,3,,,0.02%,6y 115d 3h 47m 22s,
alarm-simultaneous,angola,ls-id-log-20160804173031.log.XsrjAC.gz,0,1,,,3,,,0.00%,1386y 144d 8h 40m 25s,
alarm-simultaneous,argentina,ls-id-log-20160111223651.log.SGeOMT.gz,1,0,20957356133,,0,50188,,,,landslide-trace-1452569824.55.html
alarm-simultaneous,australia,ls-id-log-20160111224115.log.s6cvhe.gz,0,1,,,3,,,0.00%,46044y 161d 7h 3m 22s,
alarm-simultaneous,benelux,ls-id-log-20160111223826.log.107nXK.gz,0,1,,,3,,,0.00%,1126y 148d 2h 46m 26s,
alarm-simultaneous,bolivia,ls-id-log-20160111223621.log.XGkGqm.gz,1,0,1386905249,,1,1619,,,,landslide-trace-1452569792.91.html
alarm-simultaneous,botswana,ls-id-log-20160112083700.log.AmeVKN.gz,0,1,,,3,,,0.00%,845y 74d 9h 48m 55s,
alarm-simultaneous,brazil,ls-id-log-20160111225539.log.NNwhjS.gz,0,1,,,3,,,0.00%,6599y 23d 6h 45m 59s,
alarm-simultaneous,costarica,ls-id-log-20160112083746.log.xIUcAv.gz,0,1,,,4,,,0.05%,10y 63d 17h 7m 9s,
alarm-simultaneous,cuba,ls-id-log-20160111223617.log.L307D7.gz,0,1,,,3,,,0.12%,43y 323d 12h 44m 18s,
alarm-simultaneous,czechoslovakia,ls-id-log-20160111223612.log.ftor18.gz,0,1,,,3,,,0.00%,44536y 9d 22h 3m 10s,
alarm-simultaneous,denmark,ls-id-log-20160111223614.log.ddVyzx.gz,1,0,795645840,,1,1724,,,,landslide-trace-1452569784.12.html
alarm-simultaneous,eastgermany,ls-id-log-20160111223610.log.9RucUf.gz,1,0,28703653,,1,21,,,,landslide-trace-1452569783.9.html
alarm-simultaneous,ecuador,ls-id-log-20160111223747.log.ssmtR7.gz,1,0,639517344,,1,1586,,,,landslide-trace-1452569878.57.html
alarm-simultaneous,finland,ls-id-log-20160112083749.log.JrmCgO.gz,0,1,,,3,,,0.00%,42204y 127d 6h 59m 56s,
alarm-simultaneous,france,ls-id-log-20160111224630.log.4cjo1K.gz,0,1,,,3,,,0.00%,106568y 90d 12h 58m 5s,
alarm-simultaneous,haiti,ls-id-log-20160111223617.log.UGB5RU.gz,1,0,672827546,,1,1165,,,,landslide-trace-1452569790.51.html
alarm-simultaneous,honduras,ls-id-log-20160112083723.log.Bg4hNe.gz,1,0,31419267,,1,22,,,,landslide-trace-1452605855.48.html
alarm-simultaneous,indonesia,ls-id-log-20160111224126.log.aMQiYF.gz,1,0,36729284,,1,22,,,,landslide-trace-1452570098.92.html
alarm-simultaneous,iran,ls-id-log-20160111223740.log.VmRt5R.gz,0,1,,,3,,,0.00%,367979y 332d 10h 31m 59s,
alarm-simultaneous,iraq,ls-id-log-20160111223649.log.0upe9f.gz,0,1,,,3,,,0.00%,158249y 177d 12h 51m 50s,
alarm-simultaneous,israel,ls-id-log-20160111231323.log.l8VvcZ.gz,0,1,,,3,,,0.00%,4814y 157d 12h 12m 45s,
alarm-simultaneous,italy,ls-id-log-20160111224411.log.SVqFHw.gz,1,0,843108671,,1,1586,,,,landslide-trace-1452570265.93.html
alarm-simultaneous,ivorycoast,ls-id-log-20160111223647.log.LQS97M.gz,0,1,,,3,,,0.00%,10599y 30d 6h 24m 58s,
alarm-simultaneous,malaysia,ls-id-log-20160111223620.log.sWLSGb.gz,0,1,,,3,,,0.03%,3y 205d 3h 57m 18s,
alarm-simultaneous,mexico,ls-id-log-20160111223613.log.mGhNIF.gz,0,1,,,2,,,0.59%,57d 9h 50m 0s,
alarm-simultaneous,morocco,ls-id-log-20160111223614.log.8mFbij.gz,0,1,,,3,,,0.01%,1116y 293d 45m 56s,
alarm-simultaneous,nicaragua,ls-id-log-20160112012415.log.52K39C.gz,0,1,,,3,,,0.01%,875y 180d 10h 32m 8s,
alarm-simultaneous,nigeria,ls-id-log-20160111225537.log.BahGIy.gz,0,1,,,3,,,0.00%,132y 44d 10h 37m 20s,
alarm-simultaneous,northkorea,ls-id-log-20160111230228.log.PYmXKq.gz,0,1,,,3,,,0.00%,4723y 68d 19h 20m 52s,
alarm-simultaneous,norway,ls-id-log-20160111223726.log.ghaQur.gz,1,0,1410171384,,1,2097,,,,landslide-trace-1452569861.26.html
alarm-simultaneous,peru,ls-id-log-20160112042742.log.NGodxV.gz,0,1,,,3,,,0.02%,27y 65d 23h 48m 42s,
alarm-simultaneous,philippines,ls-id-log-20160111223625.log.KOcxoJ.gz,1,0,42962125,,1,34,,,,landslide-trace-1452569800.15.html
alarm-simultaneous,saudiarabia,ls-id-log-20160112185953.log.yR7ghn.gz,0,1,,,3,,,0.00%,16249y 306d 15h 57m 0s,
alarm-simultaneous,somalia,ls-id-log-20160111223657.log.KPTL9Z.gz,0,1,,,3,,,0.46%,6y 253d 3h 39m 21s,
alarm-simultaneous,southafrica,ls-id-log-20160112084142.log.vDkEqm.gz,1,0,970202271,,1,1534,,,,landslide-trace-1452606112.48.html
alarm-simultaneous,spainportugal,ls-id-log-20160111224827.log.60dfps.gz,0,1,,,3,,,0.00%,1634y 175d 13h 53m 28s,
alarm-simultaneous,syria,ls-id-log-20160111230143.log.OKsvI4.gz,0,1,,,3,,,0.00%,53447934y 47d 14h 49m 27s,
alarm-simultaneous,taiwan,ls-id-log-20160111223621.log.26s2td.gz,1,0,569769898,,1,1164,,,,landslide-trace-1452569794.41.html
alarm-simultaneous,thailand,ls-id-log-20160111223620.log.HSYVnA.gz,1,0,28116338,,1,23,,,,landslide-trace-1452569794.15.html
alarm-simultaneous,uruguay,ls-id-log-20160111223629.log.Fq4MBG.gz,0,1,,,3,,,0.00%,52231y 257d 15h 6m 31s,
