Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Timed out?,Total verif?,Bug time (wall=CPU) (usecs),Verif CPU time (usecs),Max ICB bound (table 2 in paper),# interleavings in max ICB bound state space,Estimated progress in max ICB bound state space (weighted backtrack estimator),ETA of max ICB bound state space (recursive estimator (note: may disagree with weighted backtrack estimator)),Bug trace filename
alarm-simultaneous,algeria,ls-id-log-20160414174103.log.TlyIA3.gz,0,1,0,,,1,,0.00%,1264035716y 267d 7h 22m 17s,
alarm-simultaneous,angola,ls-id-log-20160803021941.log.ib1EbH.gz,0,1,0,,,2,,0.00%,64081734y 40d 23h 12m 51s,
alarm-simultaneous,argentina,ls-id-log-20160509225641.log.h5ktsA.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,australia,ls-id-log-20160414173752.log.oQl5g2.gz,1,0,0,24133281114,,1,3724,,,landslide-trace-1460669886.84.html
alarm-simultaneous,benelux,ls-id-log-20160428180202.log.00KN1Q.gz,1,0,0,35086521026,,1,3371,,,landslide-trace-1461880940.97.html
alarm-simultaneous,bolivia,ls-id-log-20160504024519.log.1VNHqs.gz,1,0,0,22924825920,,1,4464,,,landslide-trace-1462344329.74.html
alarm-simultaneous,botswana,ls-id-log-20160413231229.log.dp5tbo.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,brazil,ls-id-log-20160414041228.log.EsdUWr.gz,0,1,0,,,2,,0.00%,23285y 205d 17h 59m 52s,
alarm-simultaneous,costarica,ls-id-log-20160509225614.log.1hbtGr.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,cuba,ls-id-log-20160417061937.log.NFELyb.gz,1,0,0,6199699955,,1,1754,,,landslide-trace-1460888390.09.html
alarm-simultaneous,czechoslovakia,ls-id-log-20160509225634.log.4Lfvta.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,denmark,ls-id-log-20160413230234.log.bYpgWV.gz,1,0,0,21571964115,,1,3679,,,landslide-trace-1460602965.9.html
alarm-simultaneous,eastgermany,ls-id-log-20160413230337.log.xzBoYQ.gz,1,0,0,95979168,,1,21,,,landslide-trace-1460603029.39.html
alarm-simultaneous,ecuador,ls-id-log-20160415002100.log.lHmmVu.gz,1,0,0,26752422342,,1,2967,,,landslide-trace-1460694077.68.html
alarm-simultaneous,finland,ls-id-log-20160413230231.log.p091lt.gz,0,1,0,,,1,,0.00%,2524473100y 75d 12h 49m 14s,
alarm-simultaneous,france,ls-id-log-20160502213534.log.gNb8DU.gz,1,0,0,14911821122,,1,2710,,,landslide-trace-1462239348.26.html
alarm-simultaneous,haiti,ls-id-log-20160413230406.log.v4WuL9.gz,1,0,0,8616749309,,1,1757,,,landslide-trace-1460603058.45.html
alarm-simultaneous,honduras,ls-id-log-20160415063659.log.wfgatA.gz,1,0,0,145436986,,1,30,,,landslide-trace-1460716636.29.html
alarm-simultaneous,indonesia,ls-id-log-20160413231838.log.Mtbg3r.gz,1,0,0,112016980,,1,34,,,landslide-trace-1460603928.77.html
alarm-simultaneous,iran,ls-id-log-20160413230602.log.9X3TJZ.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,iraq,ls-id-log-20160414222458.log.PWSs5F.gz,1,0,0,20718774466,,1,3990,,,landslide-trace-1460687110.54.html
alarm-simultaneous,israel,ls-id-log-20160414024444.log.uoSCL8.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,italy,ls-id-log-20160415154250.log.CgN8jx.gz,1,0,0,15461226372,,1,3239,,,landslide-trace-1460749380.51.html
alarm-simultaneous,ivorycoast,ls-id-log-20160415065238.log.vvdxhj.gz,1,0,0,18964845507,,1,3643,,,landslide-trace-1460717574.84.html
alarm-simultaneous,malaysia,ls-id-log-20160413230236.log.Bm5zfF.gz,1,0,0,24029183713,,1,4116,,,landslide-trace-1460602970.45.html
alarm-simultaneous,mexico,ls-id-log-20160509225635.log.Zjj2FY.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,morocco,ls-id-log-20160428213304.log.vdhfXj.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,nicaragua,ls-id-log-20160416002232.log.E7RK3d.gz,0,1,0,,,1,,25.78%,10h 2m 2s,
alarm-simultaneous,nigeria,ls-id-log-20160413230129.log.CyfSah.gz,1,0,0,13361617796,,1,2919,,,landslide-trace-1460602899.66.html
alarm-simultaneous,northkorea,ls-id-log-20160414090411.log.3nGtvF.gz,1,0,0,17783120100,,1,3535,,,landslide-trace-1460639063.86.html
alarm-simultaneous,norway,ls-id-log-20160413230231.log.CpNO33.gz,1,0,0,170547311,,1,32,,,landslide-trace-1460602962.55.html
alarm-simultaneous,peru,ls-id-log-20160509225647.log.Zppnu8.gz,1,0,0,8094616701,,1,1669,,,landslide-trace-1462849022.25.html
alarm-simultaneous,philippines,ls-id-log-20160502213532.log.r7eC8a.gz,1,0,0,167700579,,1,44,,,landslide-trace-1462239345.29.html
alarm-simultaneous,saudiarabia,ls-id-log-20160415130020.log.g3tvtH.gz,1,0,0,19374304842,,1,3308,,,landslide-trace-1460739631.72.html
alarm-simultaneous,somalia,ls-id-log-20160414214959.log.xzMLuy.gz,0,1,0,,,1,,0.04%,2y 124d 5h 26m 1s,
alarm-simultaneous,southafrica,ls-id-log-20160413230234.log.trP7Os.gz,1,0,0,18544474574,,1,2848,,,landslide-trace-1460602966.4.html
alarm-simultaneous,spainportugal,ls-id-log-20160416115006.log.UftLsh.gz,1,0,0,16514157568,,1,3607,,,landslide-trace-1460821816.19.html
